GLAID,Borough,Priority,Empty,Bedroom
188,Bexley,2,1 to 3 years,2B
189,Bexley,2,1 to 3 years,3B
190,Bexley,2,1 to 3 years,3B
191,Bexley,2,1 to 3 years,3B
192,Bexley,2,1 to 3 years,3B
193,Bexley,2,1 to 3 years,3B
194,Bexley,2,1 to 3 years,4B
195,Bexley,2,1 to 3 years,3B
196,Bexley,4,1 to 3 years,4B
197,Bexley,2,1 to 3 years,3B
198,Bexley,2,1 to 3 years,3B
199,Bexley,2,1 to 3 years,3B
200,Bexley,2,1 to 3 years,4B
201,Bexley,3,Over 5 years,3B
202,Bexley,2,1 to 3 years,3B
203,Bexley,3,Over 5 years,4B
204,Bexley,2,1 to 3 years,4B
205,Bexley,2,1 to 3 years,3B
206,Bexley,2,1 to 3 years,3B
207,Bexley,2,1 to 3 years,3B
208,Bexley,4,1 to 3 years,3B
209,Bexley,3,Over 5 years,4B
210,Bexley,2,3 to 5 years,2B
211,Bexley,2,3 to 5 years,2B
212,Bexley,5,Over 5 years,3B
213,Bexley,2,1 to 3 years,3B
214,Bexley,2,3 to 5 years,3B
215,Bexley,4,1 to 3 years,3B
216,Bexley,5,Over 5 years,4B
217,Bexley,3,1 to 3 years,3B
218,Bexley,2,1 to 3 years,4B
219,Bexley,2,1 to 3 years,2B
220,Bexley,2,3 to 5 years,2B
221,Bexley,2,1 to 3 years,2B
222,Bexley,4,1 to 3 years,3B
224,Bexley,4,3 to 5 years,3B
225,Bexley,3,Over 5 years,1B
226,Bexley,2,1 to 3 years,2B
227,Bexley,3,3 to 5 years,3B
228,Bexley,2,1 to 3 years,1B
229,Bexley,2,1 to 3 years,1B
230,Bexley,2,1 to 3 years,1B
231,Bexley,2,1 to 3 years,1B
232,Bexley,2,1 to 3 years,1B
233,Bexley,5,1 to 3 years,3B
234,Bexley,4,1 to 3 years,4B
235,Bexley,2,1 to 3 years,3B
236,Bexley,2,1 to 3 years,3B
237,Bexley,2,3 to 5 years,3B
238,Bexley,4,3 to 5 years,3B
239,Bexley,2,1 to 3 years,3B
243,Bexley,5,Over 5 years,3B
244,Bexley,2,1 to 3 years,1B
245,Bexley,3,1 to 3 years,3B
246,Bexley,4,Over 5 years,2B
247,Bexley,3,1 to 3 years,3B
248,Bexley,4,3 to 5 years,2B
249,Bexley,2,1 to 3 years,3B
250,Bexley,5,Over 5 years,2B
251,Bexley,3,1 to 3 years,3B
252,Bexley,2,1 to 3 years,2B
253,Bexley,2,1 to 3 years,1B
254,Bexley,2,1 to 3 years,3B
255,Bexley,4,1 to 3 years,3B
256,Bexley,2,1 to 3 years,3B
258,Bexley,3,1 to 3 years,3B
259,Bexley,5,Over 5 years,3B
260,Bexley,3,1 to 3 years,3B
261,Bexley,5,Over 5 years,3B
262,Bexley,3,Over 5 years,2B
263,Bexley,2,1 to 3 years,3B
264,Bexley,4,3 to 5 years,4B
265,Bexley,3,Over 5 years,2B
266,Bexley,2,1 to 3 years,2B
267,Bexley,2,1 to 3 years,2B
268,Bexley,5,1 to 3 years,3B
269,Bexley,2,1 to 3 years,2B
270,Bexley,2,1 to 3 years,3B
271,Bexley,2,3 to 5 years,2B
272,Bexley,5,Over 5 years,3B
273,Bexley,2,1 to 3 years,3B
274,Bexley,4,Over 5 years,2B
275,Bexley,5,Over 5 years,3B
276,Bexley,2,1 to 3 years,3B
277,Bexley,3,Over 5 years,1B
278,Bexley,5,Over 5 years,2B
279,Bexley,4,3 to 5 years,2B
280,Bexley,2,1 to 3 years,2B
281,Bexley,2,1 to 3 years,1B
282,Bexley,2,1 to 3 years,3B
283,Bexley,2,1 to 3 years,2B
284,Bexley,2,1 to 3 years,2B
285,Bexley,4,Over 5 years,2B
286,Bexley,3,1 to 3 years,2B
287,Bexley,2,1 to 3 years,3B
288,Bexley,2,1 to 3 years,3B
289,Bexley,2,1 to 3 years,1B
290,Bexley,3,1 to 3 years,4B
291,Bexley,2,1 to 3 years,4B
292,Bexley,3,1 to 3 years,3B
293,Bexley,2,1 to 3 years,1B
294,Bexley,2,1 to 3 years,3B
295,Bexley,3,3 to 5 years,4B
296,Bexley,3,Over 5 years,3B
297,Bexley,5,Over 5 years,3B
298,Bexley,2,1 to 3 years,3B
299,Bexley,2,3 to 5 years,3B
300,Bexley,3,3 to 5 years,4B
301,Bexley,3,1 to 3 years,3B
302,Bexley,2,1 to 3 years,3B
303,Bexley,3,1 to 3 years,3B
304,Bexley,2,3 to 5 years,3B
305,Bexley,2,1 to 3 years,3B
306,Bexley,2,1 to 3 years,3B
307,Bexley,3,Over 5 years,4B
308,Bexley,2,1 to 3 years,4B
309,Bexley,2,1 to 3 years,2B
310,Bexley,2,1 to 3 years,3B
311,Bexley,2,1 to 3 years,2B
312,Bexley,3,1 to 3 years,3B
313,Bexley,4,3 to 5 years,3B
314,Bexley,2,1 to 3 years,3B
315,Bexley,2,1 to 3 years,3B
316,Bexley,5,Over 5 years,2B
317,Bexley,2,3 to 5 years,2B
318,Bexley,2,1 to 3 years,3B
319,Bexley,2,1 to 3 years,4B
320,Bexley,2,1 to 3 years,4B
321,Bexley,3,Over 5 years,2B
322,Bexley,5,3 to 5 years,2B
323,Bexley,3,3 to 5 years,3B
324,Bexley,3,1 to 3 years,3B
325,Bexley,2,1 to 3 years,2B
326,Bexley,3,3 to 5 years,3B
327,Bexley,2,1 to 3 years,2B
329,Bexley,2,1 to 3 years,2B
330,Bexley,4,Over 5 years,2B
335,Bexley,3,Over 5 years,3B
336,Bexley,2,3 to 5 years,3B
337,Bexley,4,3 to 5 years,4B
338,Bexley,2,3 to 5 years,2B
339,Bexley,2,1 to 3 years,3B
340,Bexley,5,Over 5 years,3B
341,Bexley,3,3 to 5 years,3B
342,Bexley,2,1 to 3 years,3B
343,Bexley,3,1 to 3 years,3B
344,Bexley,2,1 to 3 years,3B
345,Bexley,2,1 to 3 years,4B
346,Bexley,2,1 to 3 years,1B
347,Bexley,2,1 to 3 years,2B
348,Bexley,2,3 to 5 years,2B
349,Bexley,5,Over 5 years,2B
350,Bexley,3,3 to 5 years,2B
351,Bexley,3,Over 5 years,2B
352,Bexley,3,Over 5 years,2B
353,Bexley,2,1 to 3 years,1B
354,Bexley,2,1 to 3 years,1B
355,Bexley,2,1 to 3 years,4B
356,Bexley,3,1 to 3 years,2B
357,Bexley,3,1 to 3 years,2B
358,Bexley,3,1 to 3 years,3B
359,Bexley,4,1 to 3 years,2B
360,Bexley,4,Over 5 years,3B
361,Bexley,2,1 to 3 years,3B
362,Bexley,2,1 to 3 years,3B
363,Bexley,3,Over 5 years,3B
364,Bexley,2,1 to 3 years,3B
365,Bexley,3,1 to 3 years,3B
366,Bexley,2,1 to 3 years,2B
367,Bexley,3,Over 5 years,2B
368,Bexley,2,1 to 3 years,2B
369,Bexley,3,3 to 5 years,2B
370,Bexley,2,1 to 3 years,2B
371,Bexley,3,1 to 3 years,3B
372,Bexley,3,Over 5 years,3B
373,Bexley,3,3 to 5 years,2B
374,Bexley,3,Over 5 years,2B
375,Bexley,2,1 to 3 years,2B
376,Bexley,2,3 to 5 years,3B
377,Bexley,2,1 to 3 years,3B
378,Bexley,2,1 to 3 years,3B
379,Bexley,2,1 to 3 years,3B
380,Bexley,2,1 to 3 years,4B
381,Bexley,2,1 to 3 years,2B
382,Bexley,2,1 to 3 years,3B
383,Bexley,3,Over 5 years,3B
384,Bexley,2,1 to 3 years,3B
