GLAID,Borough,Priority,Empty,Bedroom
1936,Southwark,3,1 to 3 years,2B
1937,Southwark,3,1 to 3 years,1B
1938,Southwark,3,1 to 3 years,1B
1939,Southwark,2,1 to 3 years,3B
1940,Southwark,3,1 to 3 years,2B
1941,Southwark,3,1 to 3 years,2B
1942,Southwark,3,1 to 3 years,2B
1943,Southwark,3,1 to 3 years,1B
1944,Southwark,3,1 to 3 years,2B
1945,Southwark,3,1 to 3 years,1B
1946,Southwark,3,1 to 3 years,2B
1947,Southwark,3,1 to 3 years,2B
1948,Southwark,3,1 to 3 years,2B
1949,Southwark,3,1 to 3 years,1B
1950,Southwark,3,1 to 3 years,2B
1951,Southwark,3,1 to 3 years,2B
1952,Southwark,3,1 to 3 years,1B
1953,Southwark,3,1 to 3 years,3B
1955,Southwark,3,1 to 3 years,2B
1956,Southwark,3,1 to 3 years,1B
1957,Southwark,3,1 to 3 years,3B
1958,Southwark,3,1 to 3 years,1B
1959,Southwark,3,1 to 3 years,2B
1960,Southwark,3,1 to 3 years,1B
1961,Southwark,3,1 to 3 years,3B
1962,Southwark,3,1 to 3 years,2B
1963,Southwark,3,1 to 3 years,1B
1964,Southwark,3,1 to 3 years,3B
1965,Southwark,3,1 to 3 years,1B
1966,Southwark,2,1 to 3 years,1B
1967,Southwark,3,1 to 3 years,1B
1968,Southwark,3,1 to 3 years,1B
1969,Southwark,3,1 to 3 years,2B
1972,Southwark,3,1 to 3 years,2B
1973,Southwark,3,1 to 3 years,2B
1974,Southwark,3,1 to 3 years,2B
1975,Southwark,3,1 to 3 years,2B
1976,Southwark,3,1 to 3 years,2B
1977,Southwark,4,1 to 3 years,2B
1978,Southwark,3,1 to 3 years,2B
1979,Southwark,3,1 to 3 years,1B
1980,Southwark,3,1 to 3 years,1B
1982,Southwark,2,1 to 3 years,2B
1983,Southwark,3,1 to 3 years,3B
1984,Southwark,3,1 to 3 years,3B
1985,Southwark,3,1 to 3 years,2B
1986,Southwark,3,1 to 3 years,2B
1987,Southwark,2,1 to 3 years,1B
1988,Southwark,2,1 to 3 years,3B
1989,Southwark,2,1 to 3 years,2B
1990,Southwark,2,1 to 3 years,3B
1991,Southwark,3,1 to 3 years,3B
1993,Southwark,2,1 to 3 years,2B
1994,Southwark,3,1 to 3 years,2B
1995,Southwark,3,1 to 3 years,2B
1996,Southwark,3,1 to 3 years,1B
1997,Southwark,3,1 to 3 years,2B
1998,Southwark,3,1 to 3 years,2B
1999,Southwark,3,1 to 3 years,3B
2000,Southwark,3,1 to 3 years,2B
2001,Southwark,3,1 to 3 years,2B
2002,Southwark,3,1 to 3 years,2B
2003,Southwark,3,1 to 3 years,1B
2004,Southwark,3,1 to 3 years,2B
2005,Southwark,3,1 to 3 years,4B
2006,Southwark,3,1 to 3 years,2B
2007,Southwark,3,1 to 3 years,3B
2009,Southwark,3,1 to 3 years,2B
2010,Southwark,3,1 to 3 years,1B
2011,Southwark,3,1 to 3 years,1B
2012,Southwark,3,1 to 3 years,3B
2013,Southwark,3,1 to 3 years,2B
2014,Southwark,3,1 to 3 years,2B
2015,Southwark,3,1 to 3 years,3B
2016,Southwark,3,1 to 3 years,2B
2017,Southwark,3,1 to 3 years,2B
2018,Southwark,3,1 to 3 years,2B
2019,Southwark,4,1 to 3 years,2B
2020,Southwark,3,1 to 3 years,3B
2021,Southwark,3,1 to 3 years,2B
2022,Southwark,2,1 to 3 years,1B
2023,Southwark,3,1 to 3 years,4B
2024,Southwark,3,1 to 3 years,2B
2025,Southwark,3,1 to 3 years,3B
2026,Southwark,3,1 to 3 years,2B
2027,Southwark,3,1 to 3 years,2B
2028,Southwark,3,1 to 3 years,2B
2029,Southwark,3,1 to 3 years,3B
2030,Southwark,3,1 to 3 years,2B
2031,Southwark,3,1 to 3 years,2B
2032,Southwark,3,1 to 3 years,3B
2033,Southwark,3,1 to 3 years,2B
2034,Southwark,3,1 to 3 years,2B
2035,Southwark,4,1 to 3 years,2B
2036,Southwark,3,1 to 3 years,2B
2037,Southwark,3,1 to 3 years,2B
2038,Southwark,3,1 to 3 years,2B
2039,Southwark,3,1 to 3 years,1B
2040,Southwark,3,1 to 3 years,2B
2041,Southwark,3,1 to 3 years,1B
2042,Southwark,3,3 to 5 years,2B
2043,Southwark,3,1 to 3 years,3B
2044,Southwark,3,1 to 3 years,1B
2045,Southwark,3,1 to 3 years,2B
2046,Southwark,4,1 to 3 years,2B
2047,Southwark,3,1 to 3 years,1B
2048,Southwark,3,1 to 3 years,2B
2049,Southwark,3,1 to 3 years,2B
2050,Southwark,3,1 to 3 years,2B
2051,Southwark,3,1 to 3 years,1B
2052,Southwark,3,1 to 3 years,2B
2053,Southwark,3,1 to 3 years,2B
2054,Southwark,3,1 to 3 years,3B
2055,Southwark,3,1 to 3 years,2B
2056,Southwark,3,1 to 3 years,2B
2057,Southwark,3,1 to 3 years,2B
2059,Southwark,3,1 to 3 years,2B
2060,Southwark,3,1 to 3 years,2B
2061,Southwark,3,1 to 3 years,2B
2062,Southwark,3,1 to 3 years,3B
2063,Southwark,3,1 to 3 years,1B
2064,Southwark,3,1 to 3 years,2B
2065,Southwark,3,1 to 3 years,2B
2066,Southwark,3,1 to 3 years,1B
2067,Southwark,3,1 to 3 years,2B
2068,Southwark,3,1 to 3 years,2B
2069,Southwark,5,1 to 3 years,1B
2070,Southwark,3,1 to 3 years,1B
2071,Southwark,3,1 to 3 years,2B
2072,Southwark,3,1 to 3 years,1B
2073,Southwark,3,1 to 3 years,2B
2074,Southwark,3,1 to 3 years,4B
2075,Southwark,3,1 to 3 years,2B
2076,Southwark,3,1 to 3 years,3B
2077,Southwark,3,1 to 3 years,2B
2078,Southwark,3,1 to 3 years,3B
2079,Southwark,3,1 to 3 years,2B
2080,Southwark,3,1 to 3 years,2B
2081,Southwark,3,1 to 3 years,1B
2082,Southwark,3,1 to 3 years,2B
2083,Southwark,3,1 to 3 years,2B
2084,Southwark,4,1 to 3 years,4B
2085,Southwark,3,1 to 3 years,1B
2086,Southwark,3,1 to 3 years,2B
2087,Southwark,3,1 to 3 years,2B
2088,Southwark,3,1 to 3 years,2B
2089,Southwark,3,1 to 3 years,2B
2090,Southwark,3,1 to 3 years,2B
2091,Southwark,3,1 to 3 years,2B
2092,Southwark,3,1 to 3 years,3B
2093,Southwark,3,1 to 3 years,2B
2094,Southwark,3,1 to 3 years,3B
2095,Southwark,3,1 to 3 years,3B
2096,Southwark,3,1 to 3 years,3B
2097,Southwark,3,1 to 3 years,2B
2099,Southwark,3,1 to 3 years,3B
2100,Southwark,3,1 to 3 years,2B
2101,Southwark,4,Over 5 years,3B
2102,Southwark,3,1 to 3 years,4B
2103,Southwark,4,3 to 5 years,2B
2104,Southwark,4,Over 5 years,1B
2105,Southwark,5,Over 5 years,2B
2106,Southwark,5,Over 5 years,5B+
2107,Southwark,4,Over 5 years,2B
2108,Southwark,5,Over 5 years,1B
2109,Southwark,3,1 to 3 years,5B+
2110,Southwark,2,3 to 5 years,3B
2111,Southwark,2,3 to 5 years,2B
2112,Southwark,2,3 to 5 years,2B
2113,Southwark,2,1 to 3 years,1B
2114,Southwark,2,3 to 5 years,1B
2115,Southwark,2,3 to 5 years,1B
2116,Southwark,5,Over 5 years,3B
2117,Southwark,3,1 to 3 years,5B+
2118,Southwark,2,1 to 3 years,2B
2119,Southwark,3,Over 5 years,3B
2120,Southwark,2,1 to 3 years,4B
2121,Southwark,2,1 to 3 years,2B
2122,Southwark,2,1 to 3 years,4B
2123,Southwark,2,1 to 3 years,3B
2124,Southwark,2,1 to 3 years,3B
2125,Southwark,2,1 to 3 years,3B
2126,Southwark,2,1 to 3 years,2B
2127,Southwark,2,3 to 5 years,3B
2128,Southwark,2,1 to 3 years,3B
2129,Southwark,2,1 to 3 years,2B
2130,Southwark,2,3 to 5 years,2B
2131,Southwark,2,Over 5 years,2B
2132,Southwark,2,Over 5 years,2B
2133,Southwark,2,1 to 3 years,3B
2134,Southwark,2,3 to 5 years,2B
2135,Southwark,2,1 to 3 years,2B
2136,Southwark,4,Over 5 years,2B
2137,Southwark,2,1 to 3 years,4B
2138,Southwark,2,1 to 3 years,3B
2139,Southwark,2,Over 5 years,2B
2140,Southwark,2,Over 5 years,2B
2141,Southwark,2,Over 5 years,2B
2142,Southwark,2,Over 5 years,4B
2143,Southwark,3,Over 5 years,3B
2144,Southwark,2,1 to 3 years,2B
2145,Southwark,2,1 to 3 years,2B
2146,Southwark,2,1 to 3 years,4B
2147,Southwark,2,1 to 3 years,3B
2148,Southwark,2,1 to 3 years,2B
2149,Southwark,2,1 to 3 years,2B
2150,Southwark,2,1 to 3 years,3B
2151,Southwark,2,1 to 3 years,3B
2152,Southwark,2,1 to 3 years,1B
2153,Southwark,2,1 to 3 years,2B
2154,Southwark,2,3 to 5 years,2B
2155,Southwark,2,1 to 3 years,1B
2156,Southwark,2,1 to 3 years,2B
2157,Southwark,2,1 to 3 years,2B
2158,Southwark,2,1 to 3 years,2B
2159,Southwark,2,1 to 3 years,4B
2160,Southwark,2,1 to 3 years,2B
2161,Southwark,2,1 to 3 years,4B
2162,Southwark,2,1 to 3 years,2B
2163,Southwark,2,1 to 3 years,2B
2164,Southwark,2,1 to 3 years,3B
2165,Southwark,2,3 to 5 years,2B
2166,Southwark,3,3 to 5 years,3B
2167,Southwark,2,1 to 3 years,2B
2168,Southwark,3,1 to 3 years,2B
2169,Southwark,3,Over 5 years,2B
2170,Southwark,3,1 to 3 years,2B
2171,Southwark,2,1 to 3 years,3B
2172,Southwark,2,1 to 3 years,2B
2173,Southwark,2,Over 5 years,3B
2174,Southwark,2,Over 5 years,3B
2175,Southwark,4,1 to 3 years,3B
2176,Southwark,2,1 to 3 years,2B
2177,Southwark,2,1 to 3 years,2B
2178,Southwark,2,1 to 3 years,3B
2179,Southwark,2,1 to 3 years,2B
2180,Southwark,3,1 to 3 years,3B
2181,Southwark,2,1 to 3 years,2B
2182,Southwark,3,3 to 5 years,2B
2183,Southwark,2,Over 5 years,2B
2184,Southwark,3,1 to 3 years,4B
2185,Southwark,2,1 to 3 years,2B
2186,Southwark,2,3 to 5 years,2B
2187,Southwark,2,3 to 5 years,2B
2188,Southwark,2,Over 5 years,1B
2189,Southwark,3,1 to 3 years,2B
2190,Southwark,2,1 to 3 years,2B
2191,Southwark,2,1 to 3 years,2B
2192,Southwark,2,3 to 5 years,2B
2193,Southwark,2,3 to 5 years,2B
2194,Southwark,2,3 to 5 years,3B
2195,Southwark,2,1 to 3 years,3B
2196,Southwark,2,1 to 3 years,4B
2197,Southwark,2,1 to 3 years,3B
2198,Southwark,2,1 to 3 years,3B
2199,Southwark,2,1 to 3 years,2B
2200,Southwark,2,1 to 3 years,3B
2201,Southwark,2,1 to 3 years,3B
2202,Southwark,2,1 to 3 years,2B
2203,Southwark,2,1 to 3 years,2B
2204,Southwark,2,1 to 3 years,2B
2205,Southwark,2,1 to 3 years,2B
2206,Southwark,3,1 to 3 years,3B
2207,Southwark,2,1 to 3 years,2B
2208,Southwark,2,3 to 5 years,2B
2209,Southwark,5,Over 5 years,2B
2210,Southwark,1,Over 5 years,4B
2211,Southwark,2,1 to 3 years,3B
2212,Southwark,2,1 to 3 years,2B
2213,Southwark,3,1 to 3 years,3B
2214,Southwark,2,1 to 3 years,1B
2215,Southwark,3,1 to 3 years,2B
2216,Southwark,2,3 to 5 years,3B
2217,Southwark,2,1 to 3 years,2B
2218,Southwark,2,1 to 3 years,2B
2219,Southwark,2,1 to 3 years,4B
2220,Southwark,3,1 to 3 years,3B
2221,Southwark,2,1 to 3 years,3B
2222,Southwark,2,1 to 3 years,3B
2223,Southwark,3,1 to 3 years,2B
2224,Southwark,4,1 to 3 years,5B+
2225,Southwark,3,1 to 3 years,2B
2226,Southwark,3,1 to 3 years,2B
2227,Southwark,3,1 to 3 years,1B
2228,Southwark,5,Over 5 years,1B
2229,Southwark,5,Over 5 years,2B
2230,Southwark,5,Over 5 years,1B
2231,Southwark,5,Over 5 years,1B
2232,Southwark,3,1 to 3 years,3B
2233,Southwark,3,1 to 3 years,2B
2234,Southwark,3,1 to 3 years,1B
2235,Southwark,2,3 to 5 years,3B
2236,Southwark,5,Over 5 years,2B
2237,Southwark,4,1 to 3 years,2B
2238,Southwark,3,1 to 3 years,2B
2239,Southwark,3,1 to 3 years,2B
2240,Southwark,3,1 to 3 years,1B
2241,Southwark,3,1 to 3 years,1B
2242,Southwark,3,1 to 3 years,1B
2243,Southwark,3,1 to 3 years,1B
2244,Southwark,3,1 to 3 years,1B
2245,Southwark,3,1 to 3 years,1B
2246,Southwark,3,1 to 3 years,1B
2247,Southwark,3,1 to 3 years,1B
2248,Southwark,3,1 to 3 years,1B
2249,Southwark,3,1 to 3 years,1B
2250,Southwark,3,1 to 3 years,1B
2251,Southwark,4,Over 5 years,2B
2252,Southwark,3,1 to 3 years,2B
2253,Southwark,5,Over 5 years,2B
2254,Southwark,3,1 to 3 years,3B
2255,Southwark,2,1 to 3 years,3B
2256,Southwark,4,1 to 3 years,3B
2257,Southwark,3,1 to 3 years,2B
2258,Brent,5,3 to 5 years,3B
2259,Brent,4,3 to 5 years,2B
2260,Brent,4,3 to 5 years,3B
2261,Brent,4,3 to 5 years,3B
2262,Brent,4,3 to 5 years,Unknown
2263,Brent,3,3 to 5 years,3B
2264,Brent,3,3 to 5 years,2B
2265,Brent,3,3 to 5 years,2B
2266,Brent,3,3 to 5 years,2B
2267,Brent,3,3 to 5 years,2B
2268,Brent,3,3 to 5 years,2B
2269,Brent,2,3 to 5 years,Unknown
2270,Brent,2,3 to 5 years,Unknown
2271,Brent,5,1 to 3 years,4B
2272,Brent,5,1 to 3 years,3B
2273,Brent,5,1 to 3 years,3B
2274,Brent,5,1 to 3 years,4B
2275,Brent,3,1 to 3 years,4B
2276,Brent,3,1 to 3 years,Unknown
2277,Brent,3,1 to 3 years,1B
2278,Brent,3,1 to 3 years,3B
2279,Brent,3,1 to 3 years,Unknown
2280,Brent,3,1 to 3 years,Unknown
2281,Brent,3,1 to 3 years,3B
2282,Brent,3,1 to 3 years,3B
2283,Brent,3,1 to 3 years,4B
2284,Brent,3,1 to 3 years,3B
2285,Brent,3,1 to 3 years,Unknown
2286,Brent,3,1 to 3 years,Unknown
2287,Brent,3,1 to 3 years,Unknown
2288,Brent,3,1 to 3 years,3B
2289,Brent,3,1 to 3 years,3B
2290,Brent,3,1 to 3 years,2B
2291,Brent,3,1 to 3 years,2B
2292,Brent,3,1 to 3 years,2B
2293,Brent,3,1 to 3 years,1B
2294,Brent,3,1 to 3 years,Unknown
2295,Brent,3,1 to 3 years,Unknown
2296,Brent,2,1 to 3 years,3B
2297,Brent,2,1 to 3 years,3B
2298,Brent,2,1 to 3 years,3B
2299,Brent,2,1 to 3 years,2B
2300,Brent,2,1 to 3 years,2B
2301,Brent,2,1 to 3 years,3B
2302,Brent,2,1 to 3 years,4B
2303,Brent,2,1 to 3 years,3B
2304,Brent,2,1 to 3 years,3B
2305,Brent,2,1 to 3 years,3B
2306,Brent,2,1 to 3 years,2B
2307,Brent,2,1 to 3 years,1B
2308,Brent,2,1 to 3 years,3B
2309,Brent,2,1 to 3 years,1B
2310,Brent,2,1 to 3 years,2B
2311,Brent,2,1 to 3 years,2B
2312,Brent,2,1 to 3 years,3B
2313,Brent,2,1 to 3 years,3B
2314,Brent,2,1 to 3 years,1B
2315,Brent,2,1 to 3 years,4B
2316,Brent,2,1 to 3 years,2B
2317,Brent,2,1 to 3 years,3B
2318,Brent,2,1 to 3 years,3B
2319,Brent,2,1 to 3 years,Unknown
2320,Brent,2,1 to 3 years,3B
2321,Brent,2,1 to 3 years,2B
2322,Brent,2,1 to 3 years,Unknown
2323,Brent,2,1 to 3 years,1B
2324,Brent,2,1 to 3 years,1B
2326,Brent,4,1 to 3 years,Unknown
2327,Brent,3,1 to 3 years,Unknown
2328,Brent,3,1 to 3 years,Unknown
2329,Brent,5,Over 5 years,1B
2330,Brent,5,Over 5 years,2B
2331,Brent,5,Over 5 years,3B
2332,Brent,5,Over 5 years,2B
2333,Brent,5,Over 5 years,3B
2334,Brent,5,Over 5 years,3B
2335,Brent,5,Over 5 years,3B
2336,Brent,5,Over 5 years,4B
2337,Brent,5,Over 5 years,Unknown
2338,Brent,5,Over 5 years,Unknown
2339,Brent,5,Over 5 years,Unknown
2340,Brent,4,Over 5 years,Unknown
2341,Brent,4,Over 5 years,Unknown
2342,Brent,4,Over 5 years,4B
2343,Brent,4,Over 5 years,Unknown
2344,Brent,4,Over 5 years,Unknown
2345,Brent,3,Over 5 years,4B
2346,Brent,3,Over 5 years,1B
2347,Brent,3,Over 5 years,3B
2348,Brent,3,Over 5 years,2B
2349,Brent,3,Over 5 years,1B
2350,Brent,3,Over 5 years,2B
2351,Brent,3,Over 5 years,3B
2352,Brent,3,Over 5 years,Unknown
2353,Brent,3,Over 5 years,Unknown
2354,Brent,3,Over 5 years,4B
2355,Brent,3,Over 5 years,Unknown
2356,Brent,3,Over 5 years,Unknown
2357,Brent,Unknown,Unknown,1B
2358,Brent,Unknown,Unknown,3B
2359,Brent,Unknown,Unknown,1B
2360,Brent,Unknown,Unknown,1B
2361,Brent,Unknown,Unknown,2B
2362,Brent,Unknown,Unknown,2B
2363,Brent,Unknown,Unknown,2B
2364,Brent,Unknown,Unknown,2B
2365,Brent,Unknown,Unknown,2B
2366,Brent,Unknown,Unknown,2B
2367,Brent,Unknown,Unknown,1B
2368,Brent,Unknown,Unknown,2B
2369,Brent,Unknown,Unknown,3B
2370,Brent,Unknown,Unknown,Unknown
2371,Brent,Unknown,Unknown,Unknown
2372,Brent,Unknown,Unknown,2B
2373,Brent,Unknown,Unknown,3B
2374,Brent,Unknown,Unknown,Unknown
2375,Brent,Unknown,Unknown,Unknown
2376,Brent,Unknown,Unknown,Unknown
2377,Brent,Unknown,Unknown,Unknown
2378,Brent,Unknown,Unknown,Unknown
2379,Brent,Unknown,Unknown,Unknown
2380,Brent,Unknown,Unknown,1B
2381,Brent,Unknown,Unknown,1B
2382,Brent,Unknown,Unknown,1B
2383,Brent,Unknown,Unknown,Studio
2384,Brent,Unknown,Unknown,2B
2385,Brent,Unknown,Unknown,Unknown
2386,Brent,Unknown,Unknown,1B
2387,Brent,Unknown,Unknown,3B
2388,Brent,Unknown,Unknown,Unknown
2389,Brent,Unknown,Unknown,Unknown
2390,Brent,Unknown,Unknown,Unknown
2391,Brent,Unknown,Unknown,Unknown
2392,Brent,Unknown,Unknown,Unknown
2393,Brent,Unknown,Unknown,Unknown
2394,Brent,Unknown,Unknown,Unknown
2395,Brent,Unknown,Unknown,Unknown
2396,Brent,Unknown,Unknown,Unknown
2397,Brent,Unknown,Unknown,Unknown
2398,Brent,Unknown,Unknown,Unknown
2399,Brent,Unknown,Unknown,4B
2400,Brent,Unknown,Unknown,3B
2405,Brent,Unknown,Unknown,Unknown
2406,Brent,Unknown,Unknown,Unknown
2407,Brent,Unknown,Unknown,Unknown
2408,Brent,Unknown,Unknown,1B
2409,Brent,Unknown,Unknown,Unknown
2410,Brent,Unknown,Unknown,Unknown
2411,Brent,Unknown,Unknown,Unknown
2412,Brent,Unknown,Unknown,Unknown
2413,Brent,Unknown,Unknown,Unknown
2414,Brent,Unknown,Unknown,Unknown
2415,Brent,Unknown,Unknown,Unknown
2416,Brent,Unknown,Unknown,Unknown
2417,Brent,2,Unknown,Unknown
2418,Brent,5,Over 5 years,3B
2419,Brent,1,Over 5 years,3B
2420,Brent,5,Over 5 years,3B
2421,Brent,5,Over 5 years,3B
2422,Brent,5,Over 5 years,3B
2423,Brent,5,Over 5 years,4B
2424,Brent,5,Over 5 years,3B
2425,Brent,5,Over 5 years,5B+
2426,Brent,5,Over 5 years,3B
2427,Brent,5,Over 5 years,5B+
2428,Brent,5,Over 5 years,3B
2429,Brent,5,Over 5 years,5B+
2430,Brent,5,Over 5 years,4B
2431,Brent,5,Over 5 years,5B+
2432,Brent,5,Over 5 years,5B+
2433,Brent,5,Over 5 years,5B+
2434,Brent,5,Over 5 years,5B+
2435,Brent,5,Over 5 years,5B+
2436,Brent,5,Over 5 years,5B+
2437,Brent,5,Over 5 years,5B+
2438,Brent,5,Over 5 years,5B+
2439,Brent,5,Over 5 years,5B+
2440,Brent,5,Over 5 years,5B+
2441,Brent,5,Over 5 years,5B+
2442,Brent,5,Over 5 years,3B
2443,Brent,5,Over 5 years,3B
2444,Brent,5,Over 5 years,3B
2445,Brent,4,Over 5 years,5B+
2446,Brent,3,3 to 5 years,3B
2447,Brent,3,3 to 5 years,3B
2448,Brent,5,3 to 5 years,3B
2449,Brent,5,3 to 5 years,3B
2450,Brent,5,3 to 5 years,3B
2451,Brent,5,3 to 5 years,3B
2452,Brent,5,3 to 5 years,3B
2453,Brent,5,3 to 5 years,3B
2454,Brent,5,3 to 5 years,3B
2455,Brent,5,3 to 5 years,3B
2456,Brent,5,3 to 5 years,3B
2457,Brent,5,3 to 5 years,3B
2458,Brent,5,3 to 5 years,5B+
2459,Brent,5,3 to 5 years,5B+
2460,Brent,5,3 to 5 years,4B
2461,Brent,5,3 to 5 years,3B
2462,Brent,5,3 to 5 years,3B
2463,Brent,5,3 to 5 years,3B
2464,Brent,5,3 to 5 years,4B
2465,Brent,4,3 to 5 years,4B
2466,Brent,4,3 to 5 years,5B+
2467,Brent,4,3 to 5 years,3B
2468,Brent,4,3 to 5 years,3B
2469,Brent,4,3 to 5 years,3B
2470,Brent,3,3 to 5 years,3B
2471,Brent,3,3 to 5 years,3B
2472,Brent,3,3 to 5 years,3B
2473,Brent,3,3 to 5 years,3B
2474,Brent,3,3 to 5 years,3B
2475,Brent,3,3 to 5 years,5B+
2476,Brent,3,3 to 5 years,5B+
2477,Brent,2,3 to 5 years,4B
2478,Brent,2,3 to 5 years,3B
2479,Brent,2,3 to 5 years,3B
2480,Brent,1,3 to 5 years,3B
2481,Brent,1,3 to 5 years,3B
2482,Brent,5,1 to 3 years,5B+
2483,Brent,5,Unknown,5B+
2484,Brent,5,Unknown,4B
2485,Brent,1,Unknown,4B
2486,Brent,4,Unknown,3B
2487,Brent,1,Unknown,3B
2488,Ealing,5,3 to 5 years,1B
2489,Ealing,5,3 to 5 years,2B
2490,Ealing,4,3 to 5 years,3B
2491,Ealing,4,3 to 5 years,2B
2492,Ealing,4,3 to 5 years,4B
2493,Ealing,3,3 to 5 years,3B
2494,Ealing,3,3 to 5 years,1B
2495,Ealing,3,3 to 5 years,1B
2496,Ealing,3,3 to 5 years,3B
2497,Ealing,3,3 to 5 years,3B
2498,Ealing,3,3 to 5 years,3B
2499,Ealing,2,3 to 5 years,3B
2500,Ealing,2,3 to 5 years,3B
2501,Ealing,2,3 to 5 years,2B
2502,Ealing,2,3 to 5 years,4B
2503,Ealing,2,3 to 5 years,Unknown
2504,Ealing,Unknown,1 to 3 years,Unknown
2505,Ealing,Unknown,1 to 3 years,Studio
2506,Ealing,Unknown,1 to 3 years,Unknown
2507,Ealing,Unknown,1 to 3 years,Unknown
2508,Ealing,Unknown,1 to 3 years,Unknown
2509,Ealing,Unknown,1 to 3 years,Unknown
2510,Ealing,Unknown,1 to 3 years,Unknown
2511,Ealing,Unknown,1 to 3 years,Unknown
2512,Ealing,Unknown,1 to 3 years,Studio
2513,Ealing,Unknown,1 to 3 years,Unknown
2514,Ealing,Unknown,1 to 3 years,Unknown
2515,Ealing,Unknown,1 to 3 years,Unknown
2516,Ealing,Unknown,1 to 3 years,Unknown
2517,Ealing,Unknown,1 to 3 years,3B
2518,Ealing,Unknown,1 to 3 years,Unknown
2519,Ealing,Unknown,1 to 3 years,2B
2520,Ealing,Unknown,1 to 3 years,1B
2521,Ealing,Unknown,1 to 3 years,Unknown
2522,Ealing,Unknown,1 to 3 years,Unknown
2523,Ealing,Unknown,1 to 3 years,Unknown
2524,Ealing,Unknown,1 to 3 years,Unknown
2525,Ealing,Unknown,1 to 3 years,Unknown
2526,Ealing,Unknown,1 to 3 years,Unknown
2527,Ealing,Unknown,1 to 3 years,Unknown
2528,Ealing,Unknown,1 to 3 years,Unknown
2529,Ealing,Unknown,1 to 3 years,Unknown
2530,Ealing,Unknown,1 to 3 years,Unknown
2531,Ealing,Unknown,1 to 3 years,Unknown
2532,Ealing,Unknown,1 to 3 years,Unknown
2534,Ealing,Unknown,1 to 3 years,Unknown
2535,Ealing,Unknown,1 to 3 years,Unknown
2536,Ealing,Unknown,1 to 3 years,Unknown
2537,Ealing,Unknown,1 to 3 years,Unknown
2538,Ealing,Unknown,1 to 3 years,Unknown
2539,Ealing,Unknown,1 to 3 years,Unknown
2540,Ealing,Unknown,1 to 3 years,Unknown
2541,Ealing,Unknown,1 to 3 years,Unknown
2542,Ealing,5,1 to 3 years,3B
2543,Ealing,5,1 to 3 years,3B
2544,Ealing,5,1 to 3 years,3B
2545,Ealing,5,1 to 3 years,3B
2546,Ealing,5,1 to 3 years,3B
2547,Ealing,5,1 to 3 years,Unknown
2548,Ealing,5,1 to 3 years,1B
2549,Ealing,5,1 to 3 years,2B
2550,Ealing,5,1 to 3 years,1B
2551,Ealing,4,1 to 3 years,2B
2552,Ealing,4,1 to 3 years,4B
2553,Ealing,4,1 to 3 years,3B
2554,Ealing,3,1 to 3 years,2B
2555,Ealing,3,1 to 3 years,3B
2556,Ealing,3,1 to 3 years,3B
2557,Ealing,3,1 to 3 years,Unknown
2558,Ealing,3,1 to 3 years,Unknown
2559,Ealing,3,1 to 3 years,Unknown
2560,Ealing,3,1 to 3 years,Unknown
2561,Ealing,3,1 to 3 years,2B
2562,Ealing,3,1 to 3 years,3B
2563,Ealing,3,1 to 3 years,3B
2564,Ealing,3,1 to 3 years,4B
2565,Ealing,3,1 to 3 years,3B
2566,Ealing,3,1 to 3 years,Unknown
2567,Ealing,3,1 to 3 years,4B
2568,Ealing,3,1 to 3 years,1B
2569,Ealing,3,1 to 3 years,3B
2570,Ealing,3,1 to 3 years,Unknown
2571,Ealing,3,1 to 3 years,Unknown
2573,Ealing,3,1 to 3 years,3B
2574,Ealing,3,1 to 3 years,2B
2575,Ealing,3,1 to 3 years,Unknown
2576,Ealing,3,1 to 3 years,Unknown
2577,Ealing,2,1 to 3 years,3B
2578,Ealing,2,1 to 3 years,3B
2579,Ealing,2,1 to 3 years,3B
2580,Ealing,2,1 to 3 years,3B
2581,Ealing,2,1 to 3 years,3B
2582,Ealing,2,1 to 3 years,3B
2583,Ealing,2,1 to 3 years,3B
2584,Ealing,2,1 to 3 years,3B
2585,Ealing,2,1 to 3 years,3B
2586,Ealing,2,1 to 3 years,1B
2587,Ealing,2,1 to 3 years,2B
2588,Ealing,2,1 to 3 years,3B
2589,Ealing,2,1 to 3 years,4B
2590,Ealing,2,1 to 3 years,4B
2591,Ealing,2,1 to 3 years,2B
2592,Ealing,2,1 to 3 years,2B
2594,Ealing,2,1 to 3 years,3B
2595,Ealing,2,1 to 3 years,2B
2596,Ealing,2,1 to 3 years,2B
2597,Ealing,2,1 to 3 years,4B
2598,Ealing,2,1 to 3 years,3B
2599,Ealing,2,1 to 3 years,3B
2600,Ealing,2,1 to 3 years,3B
2601,Ealing,2,1 to 3 years,4B
2602,Ealing,2,1 to 3 years,2B
2603,Ealing,2,1 to 3 years,1B
2604,Ealing,2,1 to 3 years,2B
2605,Ealing,2,1 to 3 years,2B
2606,Ealing,2,1 to 3 years,4B
2607,Ealing,2,1 to 3 years,2B
2608,Ealing,2,1 to 3 years,2B
2609,Ealing,2,1 to 3 years,1B
2610,Ealing,2,1 to 3 years,2B
2611,Ealing,2,1 to 3 years,2B
2612,Ealing,2,1 to 3 years,4B
2613,Ealing,2,1 to 3 years,1B
2614,Ealing,2,1 to 3 years,2B
2615,Ealing,2,1 to 3 years,3B
